"Unidade da Federação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"12 Acre";"97,22";"91,17";"96,38";"94,45";"84,12";"58,78";"66,67";"64,33";"62,66";"66,74";"68,69";"77,48"
"15 Pará";"107,97";"100,80";"95,98";"95,00";"90,07";"70,42";"57,71";"59,57";"59,14";"63,11";"62,60";"78,54"
"35 São Paulo";"17,18";"19,21";"20,45";"20,45";"20,45";"19,56";"19,70";"18,63";"24,09";"60,18";"72,30";"28,38"
"41 Paraná";"78,03";"71,63";"77,49";"76,89";"81,72";"75,36";"76,99";"67,58";"69,74";"75,96";"83,19";"75,83"
"42 Santa Catarina";"10,71";"23,97";"28,92";"29,60";"28,83";"29,07";"28,02";"30,75";"28,98";"59,63";"84,43";"35,78"
"43 Rio Grande do Sul";"30,01";"29,78";"34,84";"49,17";"61,58";"55,11";"55,61";"61,16";"55,51";"58,65";"63,72";"50,76"
"52 Goiás";"102,64";"102,25";"107,96";"102,55";"103,59";"91,71";"84,80";"79,54";"73,95";"78,68";"73,43";"90,38"
"53 Distrito Federal";"2,81";"2,97";"3,86";"3,09";"87,56";"90,51";"62,37";"132,73";"77,95";"83,59";"79,19";"57,03"
"Total";"42,18";"42,38";"44,43";"45,40";"49,45";"44,28";"42,07";"43,59";"43,23";"64,44";"72,84";"48,62"

